421934	-5366
-162238	-272522
-108727	-129801
7207	-5287
-172795	76385
140988	-503410
-146548	400290
33808	-475778
-194855	542117
-545	95411
-81801	-43419
133386	-329870
74833	-173907
430060	-340026
-64086	-112384
-27935	212273
15360	8756
-179528	180032
-488450	395786
28187	44767
-299600	283506
-66681	-50741
-466891	219975
-100383	38649
-550400	360700
-154713	-104157
34653	89675
-576769	142659
-134897	-182481
-20819	76421
260493	-100047
-172916	-11972
-624513	54117
396465	-31801
464972	-43062
68135	-53929
112858	-37206
338860	-77844
-328255	85315
424052	-155408
-374160	-268872
-63372	-49772
127461	-170111
58535	-122443
201692	-65518
94619	232157
-110759	-87877
13099	-160817
-121156	100304
69473	-169085
-81392	130436
7774	-138194
-278256	229252
378538	-195308
-207067	165281
46067	-3131
-181393	381271
-44012	-269964
144889	161477
-36247	285137
-150464	-88914
-28110	-27770
0	0
0	0
