0	999541
1	801712
2	1632551
3	1482168
4	564660
5	826856
6	1570551
7	358732
8	521391
9	720299
10	1177766
11	1119191
12	1615018
13	1007718
14	958443
15	1386884
16	171833
17	1404812
18	1712290
19	857846
20	53284
21	605857
22	516796
23	1212337
24	588763
25	776503
26	1847819
27	2522104
28	1317614
29	903607
30	889725
31	768244
32	1429737
33	753529
34	1671659
35	1824858
36	253541
37	1446467
38	1344683
39	372970
40	686850
41	1847849
42	241769
43	1267670
44	1626574
45	187630
46	1004816
47	1422959
48	718436
49	1763036
50	1813949
51	1183454
52	572306
53	1269523
54	1195616
55	992215
56	1387749
57	614433
58	238688
59	551058
60	458247
61	1027023
62	618756
63	342487
64	1225821
65	1563075
66	532366
67	1191696
68	404590
69	802264
70	1343997
71	1411280
72	467604
73	582477
74	1519377
75	29139
76	1510595
77	1076631
78	1033660
79	1279922
80	480628
81	2168690
82	304883
83	549127
84	1111931
85	777580
86	626398
87	173367
88	879489
89	1422316
90	434335
91	602180
92	2229469
93	486765
94	654071
95	1353077
96	76495
97	686094
98	836217
99	837589
100	882414
101	1525389
102	1167642
103	966782
104	1536576
105	584929
106	1556694
107	1491788
108	1228580
109	391936
110	1437270
111	1148714
112	394143
113	547617
114	266383
115	343909
116	910918
117	104844
118	1039794
119	918093
120	982893
121	919879
122	587229
123	403725
124	800275
125	1030652
126	855731
127	1812354
128	322340
129	298815
130	1048198
131	1469427
132	973375
133	1421734
134	1469153
135	628250
136	963988
137	1016118
138	588290
139	1398213
140	1576114
141	1655096
142	1527687
143	2307368
144	1597734
145	1161186
146	566112
147	391886
148	214572
149	742735
150	1991162
151	775143
152	935080
153	537416
154	1115662
155	1072130
156	1462079
157	570781
158	677554
159	828178
160	793441
161	957650
162	517677
163	148444
164	774060
165	1389602
166	1345522
167	1128825
168	365219
169	1407939
170	917799
171	1837381
172	880552
173	1187215
174	216061
175	1618531
176	807282
177	1413652
178	541702
179	768889
180	1041294
181	1406634
182	1238637
183	315852
184	430917
185	868416
