-22003	422224
273159	-163073
120848	-116481
9157	17723
-115109	-147492
521106	4676
-426065	-21920
460582	-118782
-576589	11743
-86888	42335
4320	-86936
353991	-34543
188681	-14093
510885	193984
59259	-108654
-188803	104835
3719	31611
-256827	6293
-628507	-30461
-8326	40363
-407189	65740
-27834	-87101
-516023	-33973
-103981	-5559
-652651	90101
-98508	-160191
-2137	93060
-588690	-75863
-69611	-207930
-42878	73831
276438	-38869
-166585	-48598
-622881	-56384
396799	30906
467189	18935
74917	-44356
115502	-24025
343497	-51388
-332846	65402
431035	-130413
-350838	-302219
-57829	-61888
151836	-149817
78374	-102854
210645	-4552
-12397	252111
-43729	-143090
121675	-116533
-148592	-26706
177344	-43452
-146650	-12490
132374	-38224
-305649	-188572
301577	302610
-217474	-151123
15641	43492
-416470	-69460
247395	-116830
-115135	183841
-284006	44246
43606	-169208
18846	-34692
0	0
0	0
