-54510	-117327
-127351	1711
43994	71364
63517	-18418
89183	52841
-61444	-72074
-12874	57463
-24646	17113
-62592	-98226
128905	-89785
12264	-67812
12297	79360
-118398	-176343
123768	-108302
160332	-5384
-57026	-93214
-62360	97540
78186	-117890
3523	-212492
-37165	-2820
-40699	-81238
109406	73986
53996	-7603
-103909	-13570
-41460	37927
-40130	-27305
45864	67388
1986	98025
-171952	20669
32486	-21887
17191	-23947
35106	-75039
55640	175698
-77080	170437
-110326	8465
-17316	30126
47619	-18454
75005	96820
68610	-57953
77103	-23746
63859	95640
-6925	-61629
29112	2398
110564	96294
-79677	-91130
-64226	-217346
35511	-160033
68981	-112645
31822	-55395
51438	5584
43135	-12216
61361	-2948
-46724	-27445
13726	-56715
-23683	43560
1640	34474
13918	32060
11973	-106214
-152544	-34200
-1057	51667
23661	34596
99275	9422
24117	-120167
-108220	40020
2027	73229
-26994	55582
64501	77892
89768	-93858
53725	64243
-443	-49665
-7117	5132
45742	1084
-42239	22336
-9936	9467
38209	49965
65118	-19244
89009	51499
6708	-22923
39009	-65391
79436	50764
-63590	66011
-14519	-27686
-13372	109587
-36906	-59592
-40519	-63246
-37764	175002
-47625	10593
138976	-14768
-16389	195115
22971	1446
71169	-17551
-44746	43750
-848	-102495
27772	139393
26728	37424
43186	-29825
-20365	31729
9866	-57299
-179822	103543
-142824	148881
-75400	-13327
-41300	-107296
-35203	53610
-21006	72642
-36866	-54878
52757	-2611
45255	120879
-30399	42298
-42029	-69440
79445	-43731
-117779	9396
-134363	62732
32627	59364
-84844	33143
-3117	71757
43616	46248
56291	-55107
-91754	53235
150065	73933
105188	171879
47527	159010
35594	-69782
154003	-14969
-18416	-141635
68697	37877
43363	42278
-107879	104080
74415	-58647
47309	-104738
30540	-32709
94995	-61237
-13465	-39214
77513	-11846
-110351	84840
-134014	42017
-102152	-101060
-17902	-213388
-148621	-44688
4310	42389
-28618	-5680
-13156	86802
195193	-204190
-69978	93724
-49460	-144120
115696	108770
125938	-4793
-52648	-21347
30557	-18826
-21168	71331
43602	-24865
-22266	-50693
11072	-51748
-80438	32622
7189	-40512
-94867	24302
24081	-66128
-53613	13948
80495	-84637
6117	-28438
27407	35412
-108028	-47848
98615	36626
3422	1073
82395	52583
23192	-51073
-21283	-30683
113453	30672
49293	-77822
867	53559
84502	-6774
56393	-86926
-64083	76306
-118056	1454
