-24752	-109679
527	68023
43353	-58128
-213022	23671
67171	76939
32595	-101513
-97691	49997
7076	-67517
4215	85869
115087	94189
6435	28649
118777	27943
-47990	-17232
64588	5311
34539	7782
3696	-8603
-70826	97406
56633	-63174
-63903	26419
48178	-46227
-71967	17570
12489	-32717
-26616	100651
9061	114135
-526	-8005
81736	-6986
-57203	-51129
-129282	-23222
-68878	75696
-33400	8142
-1054	-5105
2986	-135908
70877	50721
17481	-91009
95354	-25651
41419	104620
75139	46790
-91408	-36957
-49794	-5631
89215	-64929
-34367	-29995
-116244	6789
-10552	70960
114706	111716
82002	-12515
-118183	52407
-98657	71869
-11610	-123584
-196056	-36632
-48201	175027
-5966	50352
-104073	192557
87570	17674
-43572	-71060
-63314	-60177
10931	-44462
49096	-11566
-4451	-54753
10771	-51947
-71778	42556
-75833	-53088
91941	19957
46670	-61383
-66751	58529
38705	8917
143396	85591
-86152	-83292
312	-47749
85533	-49057
29537	-96153
14000	-65961
67714	-5940
-98563	46317
50775	-82934
6943	-131640
-11402	-38907
-3596	-42417
111707	-173425
-33270	96463
-49987	-13771
62870	63009
-64030	-128471
-103022	-71295
-84117	-18185
-3020	87488
34238	-28213
67526	-166638
-6053	-28937
39380	-4085
-44939	17616
17659	112586
-137143	16098
-30108	-82067
39563	848
114434	-93198
-15732	-61678
-171466	-12041
34663	15951
19652	-126860
95029	3114
56015	-57567
12115	-61620
-6694	-6924
96180	-1035
97333	-33127
-49241	13490
-47944	-37411
16449	-72597
-5428	-15573
-74796	16330
-51	-73780
36068	-105812
-88045	15329
-4306	20895
16589	-11059
-49609	12402
35984	13006
29236	-54930
-25041	34839
-57938	16833
85131	50332
19090	-18762
-22449	-64579
10646	73978
38582	-65670
29436	20483
120304	-12456
-110888	47799
-32787	38528
7695	-41919
58243	-45466
-84597	-77274
121815	-17468
162007	169080
-8156	117814
81382	-32869
-133551	-131773
108333	-222
-46193	65710
-580	-10935
-3925	-67746
-75468	144262
-1303	174898
76948	-27949
7113	-19755
27823	152491
88477	-130046
24455	16954
35688	-79215
-119188	2952
49683	40151
19083	-17123
27083	13376
83335	89227
-140107	106301
120184	24172
-85306	-4869
50067	114979
-43143	-11367
158150	92525
-44291	-18635
-53284	-38552
24758	92644
118858	68980
-19892	89123
13196	41351
89959	-17279
-98878	21205
-47606	-15375
33979	-152101
-7383	77742
92789	-46346
-15114	99185
-5424	28198
56242	101842
-61933	-114656
-28566	-86438
55880	-48677
-36947	88904
296	-67547
-32097	19009
80330	-155614
170072	-73270
-21599	-40095
-56950	39514
-51510	40659
-28393	71055
23961	-75586
-228478	-39817
-5859	-14964
5729	139591
21777	30446
-77306	23692
38482	48539
68725	22911
85502	36101
-157818	-26978
-2546	35073
71923	20174
27499	2737
93375	-31134
33743	-85850
28013	25625
38958	20183
94600	48540
-44899	36059
-87489	-12384
-18685	-39096
-13870	753
-89004	-50679
79304	66831
17100	21271
-40095	-11112
13903	65210
-126882	-68467
14751	14458
13636	-29467
97308	3929
26566	-44356
78122	-589
67321	23335
-47751	-34942
91105	36710
60168	56193
123882	80175
21015	-113119
-150973	60200
65571	-24204
60647	14348
-14786	117318
-13820	91571
-35645	-30086
-15720	-10231
25037	41078
76246	18081
79722	-131616
30021	90995
-2413	4241
4373	54945
-145355	-13957
79431	-33451
122959	-27144
-125425	-72905
-157075	60529
-706	-10811
-33602	16442
-12054	19844
169373	44736
-3358	-49909
-11138	153147
29493	-24214
-32296	-13369
55246	-29141
22492	-63894
94537	54637
-33541	29835
-25631	-32992
100872	-56405
30997	46919
20033	-58313
-13161	95654
-98019	-141539
113286	6936
-53314	-26088
-65183	-97861
154050	32553
13518	-7079
-52772	49242
26613	45987
18990	-7922
-53873	76565
113151	123258
5248	125484
105612	-39815
130302	-64529
-61971	37406
-90243	165962
92831	-163348
33234	98088
36901	112322
-22418	19823
-78819	55788
-76255	-54339
-181127	-41999
4	42915
-68566	85275
-3292	-92230
74002	-10359
-14267	56599
90611	-67460
-67550	32255
46615	160540
27126	66333
-14827	24517
55973	-25075
-64555	44047
-15371	-67697
77275	30407
72227	30849
48943	9915
73398	-39422
64369	-5462
-116506	59851
-77038	-38803
-60161	-83499
106495	-45337
-77371	-14416
-29459	27656
-123483	134073
-9349	85819
54425	43450
-4121	15686
-44736	141773
-23536	37582
65095	20416
1712	5910
-22260	37167
-134130	34237
124921	56202
-62897	100622
31884	24769
-12190	100749
-52841	-10636
-31844	-50282
-175433	-101489
8253	-11788
57925	-15348
110056	-26379
-20392	-42780
-44049	-76190
-36103	39045
-42692	-72149
-93801	-14852
-137269	39658
42774	27827
113737	-10343
-34748	23103
-61054	-8112
-4950	50138
9299	25726
-95685	30391
-50895	71456
24792	11761
-42559	64653
50020	-50270
-9036	-95093
-61205	48316
-48938	-61793
-49966	-92358
137377	79873
13998	56714
101440	87638
-41120	-2658
46684	-8058
-4911	17077
5500	-32149
-54041	-79297
42821	20196
11621	-10838
-140522	-27096
71225	23843
57589	16605
45536	75786
-13657	-21377
36969	79999
57196	92992
25147	46153
124196	-20249
40609	53420
117323	36722
-118876	-58399
-5475	14602
33719	14497
110538	-29562
2120	14607
34794	45193
-10203	-33710
-56638	100519
11255	-36800
27758	-502
55707	-33362
105306	18284
8475	36188
51999	-36805
-28843	-48021
60301	48229
57441	-13650
76509	-62658
-7427	-96143
-1834	21402
10338	-6611
-5798	-62362
102118	-23822
